textid,anger,disgust,fear,joy,sad,surprise
68,0.0977134,0.0480242,0.163893,0.343889,0.158792,0.187688
69,0.132914,0.0433471,0.194389,0.178761,0.298267,0.152324
70,0.116757,0.0605964,0.177506,0.329269,0.13945,0.176422
71,0.103829,0.0574875,0.190194,0.345437,0.150929,0.152123
72,0.101653,0.0525147,0.163153,0.30724,0.213155,0.162283
73,0.126136,0.0699893,0.237204,0.134798,0.286272,0.1456
74,0.112698,0.0370528,0.163012,0.374173,0.156172,0.156892
75,0.116729,0.0567649,0.155881,0.319682,0.135901,0.215043
76,0.0692974,0.021385,0.245288,0.245687,0.256759,0.161584
77,0.10374,0.0390499,0.190624,0.296649,0.188608,0.181329
78,0.0980328,0.0346911,0.131051,0.460852,0.10016,0.175213
79,0.0766051,0.0252837,0.154153,0.366037,0.154656,0.223266
80,0.0913473,0.0279582,0.138548,0.346293,0.207171,0.188682
81,0.105741,0.036406,0.253323,0.256831,0.207289,0.140411
82,0.108462,0.0523206,0.197395,0.265051,0.199848,0.176924
83,0.0789832,0.0346932,0.170783,0.387187,0.110991,0.217363
84,0.109931,0.0382943,0.162841,0.322804,0.186861,0.179269
85,0.0915496,0.04905,0.200716,0.228348,0.23112,0.199216
86,0.0804778,0.0337301,0.24996,0.293956,0.180582,0.161294
87,0.0878205,0.0577191,0.24003,0.152524,0.278609,0.183298
88,0.0699931,0.0556649,0.104593,0.421191,0.14983,0.198729
89,0.105968,0.0382762,0.124352,0.408968,0.134275,0.188161
90,0.113867,0.0410366,0.162465,0.349514,0.145222,0.187895
91,0.126339,0.0518906,0.128351,0.341781,0.151072,0.200567
92,0.133753,0.0538429,0.175956,0.25843,0.174768,0.20325
93,0.10252,0.029285,0.214807,0.302692,0.18721,0.163485
94,0.118122,0.0620475,0.230104,0.26203,0.166607,0.16109
95,0.139125,0.0698885,0.18871,0.251054,0.184538,0.166685
96,0.0990136,0.0551816,0.141936,0.321333,0.171375,0.21116
97,0.0812369,0.0344738,0.163022,0.409205,0.152232,0.159831
98,0.106245,0.0374019,0.134521,0.394294,0.142635,0.184903
99,0.107707,0.0506664,0.159261,0.301282,0.166531,0.214553
100,0.121624,0.0505235,0.140631,0.326481,0.163369,0.197371
101,0.124503,0.0614156,0.243249,0.170607,0.261877,0.138349
102,0.0842457,0.0290697,0.161787,0.414218,0.133137,0.177543
103,0.129697,0.0493024,0.228539,0.196935,0.196584,0.198944
104,0.102072,0.0568655,0.155127,0.320379,0.163191,0.202365
105,0.109947,0.0540073,0.206371,0.33509,0.116788,0.177797
106,0.0948781,0.0679761,0.218158,0.110384,0.308952,0.199652
107,0.0871271,0.0599324,0.160747,0.361238,0.158548,0.172408
108,0.096787,0.0321122,0.123397,0.372775,0.147807,0.227121
109,0.105838,0.0441027,0.18305,0.337088,0.15567,0.174251
110,0.0801002,0.0249344,0.181887,0.351702,0.178568,0.182808
111,0.114854,0.0600499,0.247927,0.161914,0.267619,0.147636
112,0.104779,0.0669773,0.243654,0.135826,0.273758,0.175006
113,0.0786022,0.0362899,0.14855,0.442615,0.147536,0.146407
114,0.106198,0.0489763,0.174274,0.328102,0.157981,0.184468
115,0.119625,0.0541983,0.250603,0.192356,0.224877,0.158341
116,0.0804538,0.0365158,0.16477,0.282305,0.21442,0.221536
117,0.101536,0.0400873,0.166177,0.360162,0.128969,0.203069
118,0.123889,0.0556396,0.124184,0.374955,0.149906,0.171427
119,0.0625392,0.0271926,0.178857,0.251955,0.239782,0.239674
120,0.107834,0.042059,0.257334,0.13461,0.260334,0.197828
121,0.0841285,0.0261946,0.137951,0.360076,0.141479,0.250172
122,0.0978802,0.0463504,0.153073,0.381198,0.117446,0.204052
123,0.106613,0.0413733,0.138305,0.375192,0.164792,0.173725
124,0.102699,0.040401,0.17199,0.34669,0.139366,0.198854
125,0.12002,0.0639216,0.210079,0.152794,0.250777,0.202408
126,0.116515,0.0751429,0.168112,0.283119,0.178637,0.178474
127,0.101718,0.0334025,0.176593,0.294732,0.205373,0.188181
128,0.100741,0.0296345,0.230034,0.307148,0.132274,0.200168
129,0.110759,0.0503168,0.194576,0.27848,0.188656,0.177213
130,0.0595656,0.0343779,0.143066,0.338761,0.177956,0.246274
131,0.0802613,0.0353702,0.140428,0.35301,0.173477,0.217454
132,0.0994979,0.0390499,0.196517,0.310376,0.180069,0.17449
133,0.13878,0.0381114,0.212713,0.258088,0.177297,0.17501
134,0.0921879,0.0427705,0.199304,0.26277,0.225622,0.177345
135,0.0890107,0.030019,0.199368,0.368434,0.141247,0.171921
136,0.118969,0.0565715,0.117493,0.357994,0.16798,0.180992
137,0.131704,0.0615561,0.178732,0.183743,0.244976,0.199289
138,0.0842875,0.0263054,0.126386,0.38733,0.146368,0.229323
139,0.122328,0.0486091,0.228713,0.258942,0.192708,0.1487
140,0.135091,0.0683364,0.193453,0.230012,0.180047,0.19306
141,0.100641,0.0436478,0.145595,0.38568,0.128124,0.196311
142,0.126997,0.0458276,0.16977,0.258019,0.227675,0.171711
143,0.0819539,0.0346389,0.137868,0.321691,0.172347,0.251501
144,0.102573,0.0427285,0.151969,0.321532,0.211022,0.170176
145,0.0960702,0.0383361,0.159755,0.262145,0.220834,0.222859
146,0.131745,0.0565713,0.143391,0.324839,0.171679,0.171774
147,0.0911551,0.0346571,0.214426,0.208206,0.235189,0.216367
148,0.11041,0.0445324,0.202227,0.232398,0.226615,0.183816
149,0.10233,0.0400861,0.178582,0.317444,0.164839,0.196719
150,0.0928921,0.0375392,0.190843,0.246748,0.272405,0.159572
151,0.151879,0.0689377,0.241393,0.132964,0.287691,0.117134
152,0.0766051,0.0252837,0.154153,0.366037,0.154656,0.223266
153,0.0957662,0.0277061,0.198542,0.328535,0.15262,0.196831
154,0.105443,0.0371673,0.133004,0.395306,0.14167,0.18741
155,0.111533,0.046786,0.167066,0.286812,0.188611,0.199191
156,0.111915,0.0466728,0.136209,0.341855,0.179176,0.184172
157,0.125728,0.0607394,0.201431,0.218636,0.18933,0.204135
158,0.0789822,0.041653,0.153255,0.377732,0.14549,0.202889
159,0.103608,0.0369458,0.138307,0.390913,0.160613,0.169612
160,0.096028,0.0369285,0.20038,0.344716,0.131551,0.190396
161,0.142655,0.0615297,0.215108,0.228916,0.22943,0.122362
162,0.136285,0.0811103,0.209376,0.142348,0.258013,0.172869
163,0.0984401,0.0495667,0.167756,0.345275,0.155789,0.183173
164,0.112618,0.0619798,0.213933,0.263474,0.177405,0.17059
165,0.131876,0.0477852,0.232342,0.282869,0.157344,0.147784
166,0.101855,0.0215075,0.225749,0.230293,0.225565,0.195031
167,0.0726498,0.0182876,0.146929,0.327292,0.176133,0.258708
168,0.117402,0.0504989,0.149124,0.331249,0.171711,0.180015
169,0.108055,0.0364544,0.132553,0.351764,0.169001,0.202173
170,0.094332,0.041211,0.177077,0.307794,0.204409,0.175178
171,0.0741432,0.0485171,0.197472,0.226089,0.21355,0.240229
172,0.0970493,0.04665,0.188217,0.331685,0.121121,0.215277
173,0.0750644,0.0437134,0.18273,0.352924,0.189661,0.155907
174,0.0965346,0.0417396,0.195602,0.331123,0.13684,0.198161
175,0.105982,0.0297158,0.221916,0.18377,0.304227,0.154388
176,0.0742031,0.0353,0.12045,0.385993,0.140744,0.243311
177,0.108269,0.0411785,0.165326,0.336334,0.175042,0.17385
178,0.0924152,0.0363398,0.143368,0.394253,0.117241,0.216383
179,0.0944571,0.0354681,0.144217,0.34742,0.144029,0.234409
180,0.0861228,0.0530376,0.181188,0.35321,0.170854,0.155587
181,0.102967,0.0446974,0.2123,0.284022,0.198434,0.157581
182,0.0786901,0.02761,0.124594,0.344527,0.185825,0.238754
183,0.0964453,0.0453542,0.171593,0.357276,0.124402,0.204929
184,0.102431,0.0411848,0.150869,0.381366,0.116247,0.207903
185,0.0909033,0.0325666,0.163037,0.310865,0.174255,0.228373
186,0.116604,0.0460088,0.127082,0.371138,0.150325,0.188842
187,0.127793,0.0417038,0.185967,0.201276,0.287162,0.156098
188,0.0849126,0.0289541,0.166457,0.396514,0.110666,0.212496
189,0.0839349,0.0355584,0.140431,0.393111,0.10622,0.240744
190,0.102431,0.0411848,0.150869,0.381366,0.116247,0.207903
191,0.108519,0.0477814,0.163752,0.271297,0.217378,0.191273
192,0.082674,0.0382898,0.124935,0.377028,0.146532,0.230541
193,0.100064,0.0383196,0.216867,0.225651,0.197899,0.221199
194,0.0998189,0.0596222,0.164734,0.308309,0.120931,0.246585
195,0.0912923,0.0260568,0.148072,0.366235,0.162138,0.206206
196,0.112234,0.0367902,0.226198,0.197916,0.228802,0.19806
197,0.0687469,0.0289135,0.181982,0.236663,0.247597,0.236098
198,0.0692257,0.0353506,0.132404,0.375884,0.162705,0.22443
199,0.0983456,0.0662157,0.194808,0.193509,0.273672,0.173449
200,0.138548,0.0699121,0.213683,0.106817,0.314425,0.156615
201,0.110567,0.0457205,0.15046,0.376564,0.128099,0.188591
202,0.105668,0.0481625,0.187783,0.264203,0.189166,0.205017
203,0.0841877,0.0242436,0.137912,0.342678,0.152719,0.25826
204,0.113143,0.0569195,0.190305,0.291665,0.189561,0.158406
205,0.117806,0.0551191,0.156469,0.360695,0.137627,0.172284
206,0.0871274,0.0337571,0.203105,0.324848,0.162837,0.188327
207,0.110149,0.0431429,0.230327,0.290655,0.16508,0.160646
208,0.0851549,0.0261863,0.133875,0.381041,0.164594,0.209149
209,0.0903796,0.0302403,0.18763,0.359128,0.140302,0.19232
210,0.089026,0.0244737,0.129586,0.375923,0.141758,0.239234
211,0.0869147,0.0450602,0.259027,0.270093,0.194376,0.14453
212,0.106474,0.0313756,0.235696,0.306553,0.163606,0.156295
213,0.106141,0.041396,0.226189,0.296436,0.163514,0.166324
214,0.101957,0.0411785,0.149152,0.383332,0.115635,0.208746
215,0.0810766,0.0436636,0.139907,0.33964,0.260618,0.135096
216,0.0839684,0.0250075,0.124003,0.377928,0.138631,0.250461
217,0.0759859,0.0139229,0.122507,0.392281,0.166133,0.22917
218,0.0801382,0.0737228,0.117709,0.386354,0.141595,0.20048
219,0.125184,0.0222212,0.207561,0.197092,0.249178,0.198764
220,0.101983,0.0506727,0.109877,0.418818,0.136341,0.182308
221,0.121885,0.0473223,0.149427,0.344204,0.146533,0.190629
222,0.0826296,0.0416273,0.150955,0.37614,0.107886,0.240762
223,0.0921987,0.0491099,0.20867,0.270969,0.171364,0.207688
224,0.106015,0.0480544,0.15155,0.310452,0.182053,0.201877
225,0.103457,0.0396453,0.252536,0.249614,0.197802,0.156945
226,0.104535,0.0378229,0.207561,0.20305,0.249269,0.197762
227,0.101141,0.0376173,0.116874,0.336999,0.18541,0.221959
228,0.0856249,0.0401007,0.226554,0.281833,0.202064,0.163823
229,0.101873,0.0379438,0.151346,0.414688,0.141694,0.152456
230,0.0825278,0.0273004,0.156859,0.286171,0.247432,0.199709
231,0.087642,0.0260793,0.161571,0.329273,0.16805,0.227385
232,0.127029,0.0714466,0.165633,0.229872,0.189317,0.216702
233,0.109571,0.0439403,0.238257,0.27365,0.189153,0.145429
234,0.102431,0.0411848,0.150869,0.381366,0.116247,0.207903
235,0.0886715,0.027388,0.154735,0.333785,0.158892,0.236528
236,0.112912,0.0510803,0.234394,0.232477,0.209805,0.15933
237,0.125935,0.058775,0.177916,0.306993,0.166039,0.164342
238,0.127024,0.0925952,0.174074,0.270021,0.187559,0.148728
239,0.125243,0.0520437,0.115858,0.373631,0.146851,0.186374
240,0.13869,0.0325974,0.232253,0.264615,0.201821,0.130022
241,0.0998194,0.0365657,0.134472,0.352318,0.164006,0.212819
242,0.0933235,0.0435079,0.160705,0.40834,0.116563,0.177561
243,0.0969054,0.0458739,0.208397,0.306068,0.182104,0.160651
244,0.102611,0.0431086,0.232736,0.177275,0.239746,0.204524
245,0.133066,0.0693103,0.230416,0.155718,0.279712,0.131778
246,0.0944533,0.0367402,0.18737,0.291381,0.201036,0.189019
247,0.098594,0.0378781,0.147152,0.379088,0.169387,0.167901
248,0.106027,0.0353878,0.177752,0.341197,0.175471,0.164166
249,0.146621,0.0333798,0.220581,0.173063,0.249054,0.177301
250,0.113715,0.0555139,0.201665,0.29995,0.176693,0.152464
251,0.115321,0.0388706,0.100547,0.355192,0.159695,0.230374
252,0.0871495,0.0290924,0.17133,0.316406,0.24966,0.146362
253,0.131746,0.0565715,0.142317,0.323099,0.164599,0.181668
254,0.111656,0.0460361,0.150163,0.335352,0.190609,0.166185
255,0.118952,0.0484646,0.244102,0.232893,0.168042,0.187546
256,0.107438,0.0477646,0.229331,0.230648,0.209527,0.175292
257,0.0916973,0.0385291,0.167787,0.186057,0.294329,0.221601
258,0.107572,0.0321061,0.227525,0.294342,0.164812,0.173643
259,0.111535,0.0549872,0.167276,0.321042,0.165358,0.179803
260,0.121952,0.0593793,0.172311,0.21302,0.227766,0.205572
261,0.122019,0.0458851,0.18254,0.182211,0.25126,0.216084
262,0.0679505,0.057737,0.107353,0.368904,0.186002,0.212053
263,0.0352067,0.0226234,0.111849,0.425821,0.11911,0.28539
264,0.124783,0.0735535,0.175595,0.264478,0.215206,0.146384
265,0.100037,0.0282431,0.134623,0.343474,0.161046,0.232578
266,0.0996255,0.054467,0.165029,0.323713,0.117949,0.239217
267,0.145811,0.0548508,0.203455,0.15368,0.30977,0.132433
268,0.130891,0.066558,0.1827,0.219692,0.192032,0.208127
269,0.0970195,0.0410147,0.164017,0.375082,0.173179,0.149687
270,0.0929234,0.0113214,0.154504,0.355159,0.160504,0.225588
271,0.096941,0.0278683,0.181438,0.391701,0.112995,0.189058
272,0.116636,0.0484266,0.157238,0.318831,0.163315,0.195554
273,0.146825,0.0608429,0.191477,0.218178,0.247581,0.135096
274,0.108359,0.0379483,0.22462,0.263364,0.181521,0.184188
275,0.0608839,0.0350242,0.135178,0.482972,0.106555,0.179387
276,0.126545,0.0552228,0.19802,0.292547,0.162588,0.165077
277,0.101262,0.0654374,0.146045,0.266466,0.182463,0.238327
278,0.0710703,0.0567066,0.198001,0.16027,0.296576,0.217377
279,0.122663,0.0520344,0.212954,0.292588,0.178648,0.141112
280,0.110874,0.0357726,0.207699,0.31219,0.153641,0.179822
281,0.10478,0.0383559,0.173746,0.309888,0.217845,0.155385
282,0.0796745,0.0536914,0.159792,0.311791,0.187053,0.207997
283,0.128438,0.0549486,0.0920203,0.348162,0.14579,0.230641
284,0.071816,0.0404535,0.114675,0.378697,0.197258,0.197101
285,0.101375,0.039572,0.191563,0.289479,0.209636,0.168375
286,0.140701,0.0582973,0.207928,0.303483,0.136405,0.153186
287,0.102431,0.0411848,0.150869,0.381366,0.116247,0.207903
288,0.0874001,0.0397518,0.165055,0.308538,0.212652,0.186604
289,0.0835253,0.0311007,0.167559,0.299476,0.255125,0.163214
290,0.107136,0.039189,0.150424,0.396209,0.150818,0.156224
291,0.105579,0.0390337,0.170532,0.353744,0.154615,0.176496
292,0.0904097,0.0324409,0.20823,0.367463,0.129257,0.1722
293,0.105838,0.0441027,0.18305,0.337088,0.15567,0.174251
294,0.0962114,0.0246435,0.162891,0.375437,0.153434,0.187383
295,0.0891699,0.0323766,0.135206,0.348759,0.164742,0.229747
296,0.099542,0.0509861,0.163835,0.370464,0.1394,0.175773
297,0.119025,0.0632044,0.16695,0.33445,0.143094,0.173277
298,0.100816,0.0450605,0.258951,0.224759,0.22818,0.142232
299,0.113451,0.0451215,0.227634,0.178688,0.231168,0.203937
300,0.142276,0.0616807,0.190516,0.17136,0.245693,0.188474
301,0.114237,0.0422742,0.186519,0.27679,0.219109,0.161072
302,0.120319,0.0403219,0.16011,0.353472,0.117153,0.208625
303,0.0753436,0.0316647,0.170689,0.340318,0.19117,0.190815
304,0.107262,0.0361608,0.230673,0.163161,0.291689,0.171055
305,0.103822,0.0396639,0.14668,0.402316,0.119371,0.188147
306,0.115909,0.0497433,0.215773,0.255206,0.217248,0.146121
307,0.131862,0.0661002,0.194682,0.258339,0.182807,0.166209
308,0.123758,0.0540308,0.143355,0.336576,0.174096,0.168184
309,0.0918291,0.0558169,0.163552,0.319316,0.165656,0.203829
310,0.113108,0.0416247,0.150512,0.366565,0.182803,0.145387
311,0.102431,0.0411848,0.150869,0.381366,0.116247,0.207903
312,0.101344,0.0461967,0.189285,0.224088,0.230148,0.208938
